actor,total_films,mean_rating,mean_gross,wins
Patrick Fugit,1,7.9,32534850.0,1
Paul Dano,1,8.2,40222514.0,2
Paul Bettany,1,8.0,1530386.0,0
Patrick Huard,1,8.1,3492754.0,0
Paul Benjamin,1,7.6,5739376.0,0
Patrick Magee,1,8.3,6207725.0,0
Patton Oswalt,1,8.0,206445654.0,1
Arifin Putra,1,8.0,2625803.0,0
Patrick Wilson,1,7.6,107509799.0,0
Ariane Labed,1,7.9,8114627.0,0
Paul Freeman,1,8.4,248159971.0,5
Ariadna Gil,1,8.2,37634615.0,3
Paul Henreid,1,8.5,1024560.0,3
Paul Winfield,1,8.0,38400000.0,0
Penelope Ann Miller,1,7.9,36948322.0,0
Patrick Renna,1,7.8,32416586.0,0
Payman Maadi,1,8.3,7098492.0,0
Pavel Ponomaryov,1,7.8,181655.0,0
Pauline Burlet,1,7.8,1330596.0,0
Paulette Goddard,1,8.5,163245.0,0
Paul Scofield,1,7.7,28350000.0,6
Paul McCartney,1,7.6,13780024.0,0
Paul Sanchez,1,7.8,233632142.0,0
Paul Rudd,1,8.0,17738570.0,0
Antonio Banderas,1,7.6,3185812.0,0
Aoi Yûki,1,8.4,5017246.0,0
Paul McGann,1,7.7,1544889.0,0
Pascal Benezech,1,7.6,1794187.0,0
Antoine Olivier Pilon,1,8.1,3492754.0,0
RJ Cyler,1,7.7,6743776.0,0
Phylicia Rashad,1,7.6,109767581.0,0
Riz Ahmed,1,7.9,32381218.0,0
Ringo Starr,1,7.6,13780024.0,0
Rima Te Wiata,1,7.9,5202582.0,0
Ricky Nelson,1,8.0,12535000.0,0
Richard Thorpe,1,8.0,2076020.0,2
Richard Masur,1,8.1,13782838.0,0
Richard Jenkins,1,7.6,9422422.0,0
Richard Hunt,1,7.6,76657000.0,0
Richard Haydn,1,8.0,163214286.0,5
Annette Bening,1,8.3,130096601.0,5
Annie Corley,1,7.6,71516617.0,0
Richard Gere,1,7.7,56116183.0,0
Annie Potts,1,7.8,434038008.0,1
Richard Edson,1,8.0,27545445.0,0
Richard E. Grant,1,7.7,1544889.0,0
Annika Wedderkopp,1,8.3,687185.0,0
Richard Crenna,1,7.7,47212904.0,0
Anouk Aimée,1,8.0,19516000.0,1
Rich Moore,1,8.0,341268248.0,1
Ricardo Montalban,1,7.6,78756177.0,0
River Phoenix,1,8.1,52287414.0,0
Rob Maxey,1,7.7,104454762.0,1
Phyllis Logan,1,8.0,13417292.0,0
Rob Minkoff,1,8.5,422783777.0,2
Annalise Basso,1,7.9,5875006.0,0
Roberta Maxwell,1,7.7,77324422.0,2
Robert Walker,1,7.9,7630000.0,0
Anne Bancroft,1,8.0,104945305.0,1
Robert Sean Leonard,1,8.1,95860116.0,1
Robert Ryan,1,7.9,12064472.0,0
Robert Rodriguez,1,8.0,74103820.0,0
Anne Baxter,1,8.2,10177.0,6
Anne Dorval,1,8.1,3492754.0,0
Robert Morley,1,7.7,536118.0,1
Robert Hays,1,7.7,83400000.0,0
Robert Gulaczyk,1,7.8,6735118.0,0
Anne Le Ny,1,8.5,13182281.0,0
Anne-Marie Duff,1,7.7,4890878.0,0
Robert Cummings,1,8.2,12562.0,0
Robert Arthur,1,8.1,3969893.0,0
Robert Armstrong,1,7.9,10000000.0,4
Robby Benson,1,8.0,218967620.0,2
Rob Reiner,1,7.9,188751.0,0
